timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779887938.2708318,10.0.0.1,10.0.0.16,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0012,1,
1779887938.2717054,10.0.0.1,10.0.0.16,"[4, 5, 6]",14.9998,15.4052,0.0,0.0017,1,
1779887938.2727613,10.0.0.1,10.0.0.16,"[5, 6]",14.9998,6.922,0.0,0.0017,1,
1779887938.277491,10.0.0.16,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0029,0,
1779887938.2792478,10.0.0.16,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0029,1,
1779887938.2809021,10.0.0.16,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0021,1,
1779887938.2825336,10.0.0.16,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0017,1,
1779887938.2843032,10.0.0.16,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0019,1,
1779887938.289048,10.0.0.1,10.0.0.17,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0024,0,
1779887938.3276546,10.0.0.1,10.0.0.17,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.005,1,
1779887938.3387275,10.0.0.1,10.0.0.17,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0033,1,
1779887938.3420281,10.0.0.1,10.0.0.17,"[4, 5, 6]",14.9998,15.4052,0.0,0.0033,1,
1779887938.3456104,10.0.0.1,10.0.0.17,"[5, 6]",14.9998,6.922,0.0,0.0076,1,
1779887938.3560433,10.0.0.17,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0033,0,
1779887938.3597517,10.0.0.17,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0026,1,
1779887938.3625596,10.0.0.17,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0029,1,
1779887938.365012,10.0.0.17,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0026,1,
1779887938.366564,10.0.0.17,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0026,1,
1779887938.3763306,10.0.0.1,10.0.0.18,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0026,0,
1779887938.3782265,10.0.0.1,10.0.0.18,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0024,1,
1779887938.38038,10.0.0.1,10.0.0.18,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0033,1,
1779887938.385946,10.0.0.1,10.0.0.18,"[4, 5, 6]",14.9998,15.4052,0.0,0.0024,1,
1779887938.3882954,10.0.0.1,10.0.0.18,"[5, 6]",14.9998,6.922,0.0,0.0021,1,
1779887938.3912804,10.0.0.18,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0017,0,
1779887938.39349,10.0.0.18,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0026,1,
1779887938.395477,10.0.0.18,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0021,1,
1779887938.396992,10.0.0.18,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0024,1,
1779887938.3999827,10.0.0.18,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0026,1,
1779887938.404782,10.0.0.1,10.0.0.19,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0017,0,
1779887938.4061718,10.0.0.1,10.0.0.19,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0019,1,
1779887938.410741,10.0.0.1,10.0.0.19,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0024,1,
1779887938.4125247,10.0.0.1,10.0.0.19,"[4, 5, 6]",14.9998,15.4052,0.0,0.0024,1,
1779887938.413988,10.0.0.1,10.0.0.19,"[5, 6]",14.9998,6.922,0.0,0.0014,1,
1779887938.4167576,10.0.0.19,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0019,0,
1779887938.4177911,10.0.0.19,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0017,1,
1779887938.419227,10.0.0.19,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0014,1,
1779887938.4214115,10.0.0.19,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0026,1,
1779887938.4228263,10.0.0.19,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0021,1,
1779887938.4276385,10.0.0.1,10.0.0.20,"[1, 2, 3, 4, 5, 6]",14.9998,37.2321,0.0,0.0024,0,
1779887938.4322834,10.0.0.1,10.0.0.20,"[2, 3, 4, 5, 6]",14.9998,29.468,0.0,0.0024,1,
1779887938.4347208,10.0.0.1,10.0.0.20,"[3, 4, 5, 6]",14.9998,21.3635,0.0,0.0029,1,
1779887938.4369013,10.0.0.1,10.0.0.20,"[4, 5, 6]",14.9998,15.4052,0.0,0.0021,1,
1779887938.4409335,10.0.0.1,10.0.0.20,"[5, 6]",14.9998,6.922,0.0,0.0026,1,
1779887938.4441917,10.0.0.20,10.0.0.1,"[6, 5, 4, 3, 2, 1]",15.0,37.092,0.0,0.0017,0,
1779887938.4470518,10.0.0.20,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0021,1,
1779887938.4491038,10.0.0.20,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.4520497,10.0.0.20,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0024,1,
1779887938.4533978,10.0.0.20,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0017,1,
1779887938.45763,10.0.0.1,10.0.0.21,"[1, 7]",15.0,5.4428,0.0,0.4268,0,
1779887938.46307,10.0.0.21,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.1934,0,
1779887938.4684498,10.0.0.1,10.0.0.22,"[1, 7]",15.0,5.4428,0.0,0.0026,0,
1779887938.4722097,10.0.0.22,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0021,0,
1779887938.483113,10.0.0.1,10.0.0.23,"[1, 7]",15.0,5.4428,0.0,0.0024,0,
1779887938.4863737,10.0.0.23,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0021,0,
1779887938.4924567,10.0.0.1,10.0.0.24,"[1, 7]",15.0,5.4428,0.0,0.0029,0,
1779887938.4965463,10.0.0.24,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0031,0,
1779887938.5010474,10.0.0.1,10.0.0.25,"[1, 7]",15.0,5.4428,0.0,0.0024,0,
1779887938.5086155,10.0.0.25,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0026,0,
1779887938.5130212,10.0.0.1,10.0.0.26,"[1, 7]",15.0,5.4428,0.0,0.0033,0,
1779887938.5166602,10.0.0.26,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0031,0,
1779887938.5235748,10.0.0.1,10.0.0.27,"[1, 7]",15.0,5.4428,0.0,0.0029,0,
1779887938.526524,10.0.0.27,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0024,0,
1779887938.5355027,10.0.0.1,10.0.0.28,"[1, 7]",15.0,5.4428,0.0,0.0026,0,
1779887938.539239,10.0.0.28,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0017,0,
1779887938.547369,10.0.0.1,10.0.0.29,"[1, 7]",15.0,5.4428,0.0,0.0024,0,
1779887938.5515828,10.0.0.29,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0019,0,
1779887938.557037,10.0.0.1,10.0.0.30,"[1, 7]",15.0,5.4428,0.0,0.0038,0,
1779887938.5631123,10.0.0.30,10.0.0.1,"[7, 1]",15.0,5.2294,0.0,0.0021,0,
1779887938.5682626,10.0.0.1,10.0.0.31,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.278,0,
1779887938.5722446,10.0.0.1,10.0.0.31,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.3812,1,
1779887938.5750916,10.0.0.1,10.0.0.31,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.2084,1,
1779887938.5769503,10.0.0.1,10.0.0.31,"[10, 11, 12]",14.9998,18.1788,0.0,0.1364,1,
1779887938.578085,10.0.0.1,10.0.0.31,"[11, 12]",14.9998,10.0015,0.0,0.0935,1,
1779887938.5847082,10.0.0.31,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.4146,0,
1779887938.5873992,10.0.0.31,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0029,1,
1779887938.5890784,10.0.0.31,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.5914543,10.0.0.31,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0012,1,
1779887938.5923855,10.0.0.31,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.5975468,10.0.0.1,10.0.0.32,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0069,0,
1779887938.6000848,10.0.0.1,10.0.0.32,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0026,1,
1779887938.6019704,10.0.0.1,10.0.0.32,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0019,1,
1779887938.6034505,10.0.0.1,10.0.0.32,"[10, 11, 12]",14.9998,18.1788,0.0,0.0012,1,
1779887938.604395,10.0.0.1,10.0.0.32,"[11, 12]",14.9998,10.0015,0.0,0.0012,1,
1779887938.609877,10.0.0.32,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0033,0,
1779887938.6123435,10.0.0.32,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0024,1,
1779887938.6147518,10.0.0.32,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.616656,10.0.0.32,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0019,1,
1779887938.617863,10.0.0.32,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.6224413,10.0.0.1,10.0.0.33,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0021,0,
1779887938.6250699,10.0.0.1,10.0.0.33,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0036,1,
1779887938.627916,10.0.0.1,10.0.0.33,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0026,1,
1779887938.632606,10.0.0.1,10.0.0.33,"[10, 11, 12]",14.9998,18.1788,0.0,0.0019,1,
1779887938.6354072,10.0.0.1,10.0.0.33,"[11, 12]",14.9998,10.0015,0.0,0.0031,1,
1779887938.6396434,10.0.0.33,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0021,0,
1779887938.6412885,10.0.0.33,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0012,1,
1779887938.6431375,10.0.0.33,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0014,1,
1779887938.6444457,10.0.0.33,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0014,1,
1779887938.645297,10.0.0.33,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0012,1,
